perl 5.42.0-1
perl-error 0.17030-2
perl-libintl-perl 1.35-2
perl-mailtools 2.22-2
perl-timedate 2.33-8
phodav 3.0-4
php 8.4.12-1
php-fpm 8.4.12-1
php-gd 8.4.12-1
php-pgsql 8.4.12-1
pinentry 1.3.2-1
pipewire 1:1.4.8-1
pipewire-alsa 1:1.4.8-1
pipewire-audio 1:1.4.8-1
pipewire-jack 1:1.4.8-1
pipewire-pulse 1:1.4.8-1
pipewire-session-manager 1:1.4.8-1
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 126-2
polkit-gnome 0.105-11
poppler-data 0.4.12-2
popt 1.19-2
portaudio 1:19.7.0-3
postgresql 17.5-5
postgresql-libs 17.5-5
potrace 1.16-4
procps-ng 4.0.5-3
protobuf 32.0-1
psmisc 23.7-1
pugixml 1.15-2
python 3.13.7-1
python-attrs 25.3.0-1
python-beautifulsoup4 4.13.5-1
python-blinker 1.9.0-1
python-cairo 1.28.0-1
python-capng 0.8.5-3
python-certifi 2025.08.03-1
python-charset-normalizer 3.4.3-1
python-click 8.2.1-1
python-dbus 1.4.0-1
python-decorator 5.2.1-1
python-distro 1.9.0-3
python-flask 3.1.2-1
python-flask-cors 6.0.1-1
python-gobject 3.52.3-3
python-idna 3.10-2
python-installer 0.7.0-10
python-itsdangerous 2.2.0-1
python-jinja 1:3.1.6-1
python-jsonschema 4.25.1-1
python-jsonschema-specifications 2025.9.1-1
python-markdown 3.9.0-1
python-markupsafe 3.0.2-1
python-orjson 3.11.3-1
python-packaging 25.0-1
python-protobuf 32.0-1
python-pyqt6 6.9.1-2
python-pyqt6-sip 13.10.2-1
python-pyqt6-webengine 6.9.0-1
python-pysocks 1.7.1-10
python-referencing 0.36.2-1
python-requests 2.32.5-1
python-rpds-py 0.27.1-1
python-send2trash 1.8.3-2
python-soupsieve 2.8-1
python-typing_extensions 4.15.0-1
python-urllib3 2.5.0-1
python-waitress 3.0.2-1
python-werkzeug 3.1.3-1
python-wheel 0.45.1-1
qemu-audio-alsa 10.1.0-1
qemu-audio-dbus 10.1.0-1
qemu-audio-jack 10.1.0-1
qemu-audio-oss 10.1.0-1
qemu-audio-pa 10.1.0-1
qemu-audio-pipewire 10.1.0-1
qemu-audio-sdl 10.1.0-1
qemu-audio-spice 10.1.0-1
qemu-base 10.1.0-1
qemu-block-curl 10.1.0-1
qemu-block-dmg 10.1.0-1
qemu-block-gluster 10.1.0-1
qemu-block-iscsi 10.1.0-1
qemu-block-nfs 10.1.0-1
qemu-block-ssh 10.1.0-1
qemu-chardev-baum 10.1.0-1
qemu-chardev-spice 10.1.0-1
qemu-common 10.1.0-1
qemu-desktop 10.1.0-1
qemu-docs 10.1.0-1
qemu-emulators-full 10.1.0-1
qemu-full 10.1.0-1
qemu-hw-display-qxl 10.1.0-1
qemu-hw-display-virtio-gpu 10.1.0-1
qemu-hw-display-virtio-gpu-gl 10.1.0-1
qemu-hw-display-virtio-gpu-pci 10.1.0-1
qemu-hw-display-virtio-gpu-pci-gl 10.1.0-1
qemu-hw-display-virtio-gpu-pci-rutabaga 10.1.0-1
qemu-hw-display-virtio-gpu-rutabaga 10.1.0-1
qemu-hw-display-virtio-vga 10.1.0-1
qemu-hw-display-virtio-vga-gl 10.1.0-1
qemu-hw-display-virtio-vga-rutabaga 10.1.0-1
qemu-hw-s390x-virtio-gpu-ccw 10.1.0-1
qemu-hw-uefi-vars 10.1.0-1
qemu-hw-usb-host 10.1.0-1
qemu-hw-usb-redirect 10.1.0-1
qemu-hw-usb-smartcard 10.1.0-1
qemu-img 10.1.0-1
qemu-pr-helper 10.1.0-1
qemu-system-aarch64 10.1.0-1
qemu-system-alpha 10.1.0-1
qemu-system-alpha-firmware 10.1.0-1
qemu-system-arm 10.1.0-1
qemu-system-arm-firmware 10.1.0-1
qemu-system-avr 10.1.0-1
